,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
64,0.8544,0.8631111111111112,0.8599,0.8439163333333334,0.8594444444444445,0.7861111111111111,0.8503622222222222,1000,0.0,1.0,64
6,0.8547,0.8455555555555555,0.8476,0.8335710999999999,0.8455555555555555,0.7518888888888889,0.838235,1000,6.639658782711828e-293,1.0,6
376,0.8555,0.8585555555555555,0.8516,0.8371018222222221,0.8643333333333333,0.7833333333333333,0.8530718888888889,1000,3.638793821344622e-148,1.0,376
300,0.8566,0.8596666666666667,0.8563,0.8453578222222222,0.8601111111111112,0.8011111111111111,0.8509966666666666,1000,0.0,1.0,300
230,0.8572,0.8618888888888889,0.8665,0.8429989222222223,0.8694444444444445,0.7448888888888889,0.8569649999999999,1000,3.355708301167883e-128,1.0,230
133,0.8572,0.8671111111111112,0.857,0.845724288888889,0.8713333333333333,0.714,0.8576944444444444,1000,4.031021333818875e-285,1.0,133
368,0.8572,0.8541111111111112,0.8827,0.8389857666666667,0.8774444444444445,0.7955555555555556,0.8664864444444444,1000,1.0,0.0,368
318,0.8574,0.8563333333333333,0.8589,0.8317131555555556,0.8684444444444445,0.8038888888888889,0.8562822222222223,1000,0.3920752970875741,0.607924702912426,318
174,0.8575,0.864,0.86,0.8485600555555557,0.8735555555555555,0.8372222222222222,0.8640734444444444,1000,0.6850458326292732,0.31495416737072685,174
465,0.8576,0.853,0.8598,0.8383534666666667,0.8582222222222222,0.7413333333333333,0.8483961111111111,1000,1.151435723151918e-92,1.0,465
225,0.8576,0.8592222222222222,0.8438,0.8401720000000001,0.8622222222222222,0.7678888888888888,0.8495947777777778,1000,0.0,1.0,225
56,0.8579,0.8521111111111112,0.8478,0.8351096000000001,0.8498888888888889,0.7691111111111111,0.8390391111111112,1000,0.0,1.0,56
82,0.8581,0.858,0.8312,0.8421273777777778,0.8718888888888889,0.8202222222222222,0.8671762222222222,1000,1.0,0.0,82
